"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerNameComparatorJaccard record1Value","[0] PlayerNameComparatorJaccard record2Value","[0] PlayerNameComparatorJaccard record1PreprocessedValue","[0] PlayerNameComparatorJaccard record2PreprocessedValue","[0] PlayerNameComparatorJaccard similarity","[0] PlayerNameComparatorJaccard postproccesedSimilarity","[1] PlayerNameComparatorJaccardTokenizer record1Value","[1] PlayerNameComparatorJaccardTokenizer record2Value","[1] PlayerNameComparatorJaccardTokenizer record1PreprocessedValue","[1] PlayerNameComparatorJaccardTokenizer record2PreprocessedValue","[1] PlayerNameComparatorJaccardTokenizer similarity","[1] PlayerNameComparatorJaccardTokenizer postproccesedSimilarity","[2] PlayerClubComparatorJaccard record1Value","[2] PlayerClubComparatorJaccard record2Value","[2] PlayerClubComparatorJaccard record1PreprocessedValue","[2] PlayerClubComparatorJaccard record2PreprocessedValue","[2] PlayerClubComparatorJaccard similarity","[2] PlayerClubComparatorJaccard postproccesedSimilarity","[3] PlayerNationalityComparatorJaccard record1Value","[3] PlayerNationalityComparatorJaccard record2Value","[3] PlayerNationalityComparatorJaccard record1PreprocessedValue","[3] PlayerNationalityComparatorJaccard record2PreprocessedValue","[3] PlayerNationalityComparatorJaccard similarity","[3] PlayerNationalityComparatorJaccard postproccesedSimilarity","[4] PlayerBirthDateComparatorEqual record1Value","[4] PlayerBirthDateComparatorEqual record2Value","[4] PlayerBirthDateComparatorEqual record1PreprocessedValue","[4] PlayerBirthDateComparatorEqual record2PreprocessedValue","[4] PlayerBirthDateComparatorEqual similarity","[4] PlayerBirthDateComparatorEqual postproccesedSimilarity"
"WekaMatchingRule","real_4119","prediction_6513","0.13780977864927088",,"Jhonatan","Chico","Jhonatan","Chico","0.0","0.0","Jhonatan","Chico","Jhonatan","Chico","0.0","0.0","Vit. Guimaraes","Antalyaspor","Vit. Guimaraes","Antalyaspor","0.0","0.0","Brazil","Brazil","Brazil","Brazil","1.0","1.0","1991-05-08","1987-02-02","1991-05-08","1987-02-02","0.0","0.0"
"WekaMatchingRule","real_2116","prediction_9869","0.13780977864927088",,"Filippo Falco","Lorenzo Dickmann","Filippo Falco","Lorenzo Dickmann","0.0","0.0","Filippo Falco","Lorenzo Dickmann","Filippo Falco","Lorenzo Dickmann","0.0","0.0","Lecce","SPAL","Lecce","SPAL","0.0","0.0","Italy","Italy","Italy","Italy","1.0","1.0","1992-02-11","1996-09-24","1992-02-11","1996-09-24","0.0","0.0"
"WekaMatchingRule","real_1947","prediction_2804","0.9902176010626135","1","Gianluigi Buffon","Gianluigi Buffon","Gianluigi Buffon","Gianluigi Buffon","1.0","1.0","Gianluigi Buffon","Gianluigi Buffon","Gianluigi Buffon","Gianluigi Buffon","1.0","1.0","Juventus","ParisSG","Juventus","ParisSG","0.0","0.0","Italy","Italy","Italy","Italy","1.0","1.0","1978-01-28","1978-01-28","1978-01-28","1978-01-28","1.0","1.0"
"WekaMatchingRule","real_2818","prediction_9202","0.13780977864927088",,"Fabri","Jorge Miramón","Fabri","Jorge Miramón","0.0","0.0","Fabri","Jorge Miramón","Fabri","Jorge Miramón","0.0","0.0","RCD Mallorca","SDHuesca","RCD Mallorca","SDHuesca","0.0","0.0","Spain","Spain","Spain","Spain","1.0","1.0","1987-12-31","1989-06-02","1987-12-31","1989-06-02","0.0","0.0"
"WekaMatchingRule","real_2897","prediction_9293","0.13780977864927088",,"Luca Sangalli","PedroLeón","Luca Sangalli","PedroLeón","0.0","0.0","Luca Sangalli","PedroLeón","Luca Sangalli","PedroLeón","0.0","0.0","Real Sociedad","SDEibar","Real Sociedad","SDEibar","0.0","0.0","Spain","Spain","Spain","Spain","1.0","1.0","1995-02-10","1986-11-24","1995-02-10","1986-11-24","0.0","0.0"
"WekaMatchingRule","real_3407","prediction_1437","0.13780977864927088",,"Pedro Leon","Paco Alcácer","Pedro Leon","Paco Alcácer","0.0","0.0","Pedro Leon","Paco Alcácer","Pedro Leon","Paco Alcácer","0.0","0.0","SD Eibar","Bor.Dortmund","SD Eibar","Bor.Dortmund","0.0","0.0","Spain","Spain","Spain","Spain","1.0","1.0","1986-11-24","1993-08-30","1986-11-24","1993-08-30","0.0","0.0"
"WekaMatchingRule","real_677","prediction_1175","0.13780977864927088",,"Christoph Kramer","Jan0Niklas Beste","Christoph Kramer","Jan0Niklas Beste","0.0","0.0","Christoph Kramer","Jan0Niklas Beste","Christoph Kramer","Jan0Niklas Beste","0.0","0.0","Bor. M'gladbach","WerderBremen","Bor. M'gladbach","WerderBremen","0.0","0.0","Germany","Germany","Germany","Germany","1.0","1.0","1991-02-19","1999-01-04","1991-02-19","1999-01-04","0.0","0.0"
"WekaMatchingRule","real_277","prediction_7761","0.13780977864927088",,"Javi Munoz","JoséAlberto Cañas","Javi Munoz","JoséAlberto Cañas","0.0","0.0","Javi Munoz","JoséAlberto Cañas","Javi Munoz","JoséAlberto Cañas","0.0","0.0","Alaves","PAOKSalonika","Alaves","PAOKSalonika","0.0","0.0","Spain","Spain","Spain","Spain","1.0","1.0","1995-02-28","1987-05-27","1995-02-28","1987-05-27","0.0","0.0"
"WekaMatchingRule","real_2902","prediction_2149","0.13780977864927088","0","Modibo Sagnan","Adil Rami","Modibo Sagnan","Adil Rami","0.0","0.0","Modibo Sagnan","Adil Rami","Modibo Sagnan","Adil Rami","0.0","0.0","Real Sociedad","Marseille","Real Sociedad","Marseille","0.0","0.0","France","France","France","France","1.0","1.0","1999-04-14","1985-12-27","1999-04-14","1985-12-27","0.0","0.0"
"WekaMatchingRule","real_1127","prediction_1701","0.13780977864927088",,"Senou Coulibaly","Paul Baysse","Senou Coulibaly","Paul Baysse","0.0","0.0","Senou Coulibaly","Paul Baysse","Senou Coulibaly","Paul Baysse","0.0","0.0","Dijon","SMCaen","Dijon","SMCaen","0.0","0.0","France","France","France","France","1.0","1.0","1994-09-04","1988-05-18","1994-09-04","1988-05-18","0.0","0.0"
"WekaMatchingRule","real_2642","prediction_9647","0.9902176010626135","1","Pablo Sarabia","Pablo Sarabia","Pablo Sarabia","Pablo Sarabia","1.0","1.0","Pablo Sarabia","Pablo Sarabia","Pablo Sarabia","Pablo Sarabia","1.0","1.0","Paris SG","SevillaFC","Paris SG","SevillaFC","0.0","0.0","Spain","Spain","Spain","Spain","1.0","1.0","1992-05-11","1992-05-11","1992-05-11","1992-05-11","1.0","1.0"
